CERT,CHCLASS1,CITYST,COST,FAILDATE,FIN,ID,NAME,Asset,QBFDEP,RESTYPE,RESTYPE1,SAVR,AssetinBil
20685,NM,"CRETE, IL",33841,9/28/2012,10459,4025,FIRST UNITED BANK,"328,422.00",316877,FAILURE,PA,DIF,0.328422
27316,SM,"ST. LOUIS, MO",39469,9/14/2012,10458,4024,TRUMAN BANK,"282,338.00",245716,FAILURE,PA,DIF,0.282338
35246,NM,"BLOOMINGTON, MN",65213,9/7/2012,10457,4023,FIRST COMMERCIAL BANK,"215,867.00",206809,FAILURE,PA,DIF,0.215867
28243,SI,"WAUKEGAN, IL",23518,8/3/2012,10456,4022,WAUKEGAN SAVINGS BANK,"83,679.00",73001,FAILURE,PA,DIF,0.083679
16240,NM,"JASPER, GA",49244,7/27/2012,10455,4021,JASPER BANKING COMPANY,"206,672.00",204238,FAILURE,PA,DIF,0.206672
1361,NM,"LEAWOOD, KS",363,7/20/2012,10452,4016,HEARTLAND BANK,"96,002.00",89723,FAILURE,PA,DIF,0.096002
27986,SB,"CHICAGO, IL",86252,7/20/2012,10453,4017,SECOND FEDERAL SAVINGS AND LOAN ASSOCIATION OF CHICAGO,"190,891.00",171627,FAILURE,PA,DIF,0.190891
32711,NM,"WOODSTOCK, GA",36215,7/20/2012,10450,4018,FIRST CHEROKEE STATE BANK,"209,021.00",182114,FAILURE,PA,DIF,0.209021
57096,NM,"NAPLES, FL",16848,7/20/2012,10454,4019,THE ROYAL PALM BANK OF FLORIDA,"78,771.00",78876,FAILURE,PA,DIF,0.078771
57847,NM,"BUFORD, GA",25335,7/20/2012,10451,4020,GEORGIA TRUST BANK,"116,890.00",114748,FAILURE,PA,DIF,0.11689
1056,NM,"GLASGOW, MO",1396,7/13/2012,10449,4015,GLASGOW SAVINGS BANK,"22,341.00",21809,FAILURE,PA,DIF,0.022341
19498,NM,"AILEY, GA",66261,7/6/2012,10448,4014,MONTGOMERY BANK & TRUST,"153,208.00",164181,FAILURE,PA,DIF,0.153208
1690,NM,"LYNCHBURG, TN",33106,6/15/2012,10447,4011,THE FARMERS BANK OF LYNCHBURG,"163,859.00",156402,FAILURE,PA,DIF,0.163859
27405,NM,"PALATKA, FL",28751,6/15/2012,10445,4012,PUTNAM STATE BANK,"169,489.00",160024,FAILURE,PA,DIF,0.169489
35299,NM,"MARIETTA, GA",44760,6/15/2012,10446,4013,SECURITY EXCHANGE BANK,"150,962.00",147896,FAILURE,PA,DIF,0.150962
