"Date","Price","Open","High","Low","Vol.","Change %"
11/1/1993,2.3125,2.5938,2.7188,2.3125,1142800,-10.85%
12/1/1993,2.5313,2.4063,2.6875,2.3438,993600,5.19%
1/1/1994,2.5,2.5313,2.625,2.2813,2216800,-1.24%
2/1/1994,2.3438,2.3125,2.5,2.25,1627600,1.35%
3/1/1994,2.4688,2.375,2.625,2.3438,2376800,3.95%
4/1/1994,2.5625,2.4688,2.75,2.4375,1212400,3.80%
5/1/1994,2.5313,2.625,2.6875,2.5,1790400,-3.57%
6/1/1994,2.625,2.5313,2.75,2.5,1122000,3.70%
7/1/1994,2.8438,2.5625,2.875,2.5,1573600,10.98%
8/1/1994,3.125,2.875,3.3125,2.75,1749600,8.70%
9/1/1994,3.0938,3.125,3.25,3,1212400,-1.00%
10/1/1994,3.063,3.0938,3.125,2.8125,2202000,-1.00%
11/1/1994,3,3,3.125,2.875,1071600,0.00%
12/1/1994,3.375,3.1,3.375,3,1126000,8.87%
1/1/1995,3.454,3.375,3.563,3.25,1858400,2.34%
2/1/1995,3.688,3.38,3.75,3.375,1096000,9.11%
3/1/1995,3.625,3.657,3.688,3.375,1574400,-0.88%
4/1/1995,3.875,3.47,4,3.438,2769600,11.67%
5/1/1995,4.25,4,4.25,3.875,2192400,6.25%
6/1/1995,4.5,4.25,4.5,4.125,2235200,5.88%
7/1/1995,4.875,4.44,5,4.125,3657600,9.80%
8/1/1995,4.938,4.907,5,4.5,3335200,0.63%
9/1/1995,5.063,4.88,5.375,4.875,1707200,3.75%
10/1/1995,4.813,5.063,5.188,4.813,2172800,-4.94%
11/1/1995,5.563,4.81,5.657,4.688,5057600,15.65%
12/1/1995,6,5.5,6.532,5.438,3323200,9.09%
1/1/1996,5.375,6,6.032,5.125,2745200,-10.42%
2/1/1996,5.5,5.19,5.625,5.063,1694400,5.97%
3/1/1996,5.688,5.44,5.813,5.375,882400,4.56%
4/1/1996,5.813,5.69,6.125,5.625,2204800,2.16%
5/1/1996,6.094,5.94,6.688,5.813,3057600,2.59%
6/1/1996,6.438,6.063,6.532,5.938,2375200,6.19%
7/1/1996,6,6.38,6.5,5.657,2024800,-5.96%
8/1/1996,6.375,5.88,6.5,5.875,1096400,8.42%
9/1/1996,7.063,6.375,7.063,6,1737600,10.79%
10/1/1996,6.532,7.06,7.438,6.469,2024400,-7.48%
11/1/1996,7.563,6.58,7.594,6.532,1449600,14.94%
12/1/1996,8.063,7.56,8.125,7.407,3048400,6.65%
1/1/1997,9.063,8.063,9.125,7.938,4257600,12.40%
2/1/1997,9.438,9.06,10,8.875,5112000,4.17%
3/1/1997,8.875,9.5,9.938,8.875,4325200,-6.58%
4/1/1997,8.75,8.81,8.938,8.313,2388800,-0.68%
5/1/1997,9.875,9,10.125,8.75,3259200,9.72%
6/1/1997,11.313,9.875,11.938,9.688,3282800,14.56%
7/1/1997,12.469,11.063,13.157,10.438,5858800,12.71%
8/1/1997,13.438,12.313,13.688,12.125,3323200,9.14%
9/1/1997,14.625,13.438,14.938,13.438,3523600,8.83%
10/1/1997,13.657,14.5,14.75,12.375,4756400,-5.81%
11/1/1997,13.172,13.5,14,12.219,3495200,-2.43%
12/1/1997,14.063,13.25,14.657,13.063,4146000,6.14%
1/1/1998,13.782,14.063,14.407,12.375,5701200,-2.00%
2/1/1998,14.25,13.782,15.157,13.782,3208800,3.40%
3/1/1998,15.266,14.25,16.125,13.75,3635600,7.13%
4/1/1998,16.313,15.44,16.688,15.125,2280000,5.65%
5/1/1998,16.375,16.688,17.875,15.5,5219400,-1.88%
6/1/1998,17.797001,16.75,18.5,15.625,3411800,6.25%
7/1/1998,15.5,17.379999,19.516001,14.875,3846800,-10.82%
8/1/1998,12.219,14.57,17.375,11.438,5488400,-16.14%
9/1/1998,8,12.19,14.438,6.25,20257200,-34.37%
10/1/1998,10.25,7.75,10.5,5.157,10280000,32.26%
11/1/1998,12.5,10.03,13.375,9.625,6336000,24.63%
12/1/1998,8.516,12.07,13.657,8,8392200,-29.44%
1/1/1999,9.407,8.516,9.625,7.5,6539400,10.46%
2/1/1999,9.594,9.5,9.813,8.782,5965000,0.99%
3/1/1999,10.344,9.63,11,9.188,3840400,7.41%
4/1/1999,8.782,10.375,12.672,8.188,8228600,-15.35%
5/1/1999,9.625,8.78,9.875,8.375,2875800,9.62%
6/1/1999,12.375,9.5,12.438,9.5,3276800,30.26%
7/1/1999,12.25,12.44,14.313,11.157,3870600,-1.53%
8/1/1999,11.219,12.25,13.438,10.375,2646000,-8.42%
9/1/1999,12.063,11.28,12.594,10.907,2377400,6.94%
10/1/1999,16.313,12.13,18.188,11.094,10839400,34.48%
11/1/1999,18.407,16.32,20.469,16.25,6930200,12.79%
12/1/1999,24.75,18.219999,27.610001,18,9826600,35.84%
1/1/2000,27.875,25.049999,28.219,23.813,9600200,11.28%
2/1/2000,39.625,27.940001,39.875,27.813,11428400,41.82%
3/1/2000,35.938,39,45.313,29.657,14594800,-7.85%
4/1/2000,30.875,35.060001,36.688,16.75,21267800,-11.94%
5/1/2000,32.813,31.16,35.188,26.078119,11858400,5.30%
6/1/2000,42.625,32.810001,44.75,32.625,15159900,29.91%
7/1/2000,43.8125,42.625,51,39.5,11031000,2.79%
8/1/2000,57.625,43.880001,59.188,42,15182600,31.32%
9/1/2000,58.219002,58.130001,65,44.875,18818700,0.15%
10/1/2000,46.25,58.220001,61.875,30.375,25570900,-20.56%
11/1/2000,34.5,46,49,33.813,11881700,-25.00%
12/1/2000,34.563,34.810001,46.625,31.5,24121100,-0.71%
1/1/2001,32.5,34.563,39.125,27.188,24308600,-5.97%
2/1/2001,27.938,32.5625,33.5,27.313,15165200,-14.20%
3/1/2001,23.5,27.879999,30.625,20.625,22937500,-15.71%
4/1/2001,25.059999,23.5,26.448999,18,20445500,6.64%
5/1/2001,27.65,25.1,31.76,25.1,16484400,10.16%
6/1/2001,22,27.68,28.82,20.700001,14344500,-20.52%
7/1/2001,20.16,21.68,21.68,18.780001,13463700,-7.01%
8/1/2001,22.360001,20.200001,22.76,19.75,8918600,10.69%
9/1/2001,20.200001,22.360001,23.25,15.85,11659000,-9.66%
10/1/2001,23.440001,19.92,24,18.43,13722400,17.67%
11/1/2001,25.23,23.35,27.290001,22.4,9494700,8.05%
12/1/2001,26.73,25.129999,27.99,24.690001,6794500,6.37%
1/1/2002,23.02,26.73,27.860001,21.799999,9666900,-13.88%
2/1/2002,27.76,23,28.85,21.139999,9122600,20.70%
3/1/2002,30.25,27.76,31.76,27.18,10307500,8.97%
4/1/2002,31.950001,29.809999,33.939999,29.26,9679700,7.18%
5/1/2002,31.120001,31.860001,33.990002,30.209999,8371700,-2.32%
6/1/2002,26.360001,31.120001,31.24,24.48,9511100,-15.30%
7/1/2002,21.620001,26.379999,27.139999,18.610001,13080690,-18.04%
8/1/2002,22.66,21.870001,23.35,20.01,8333597,3.61%
9/1/2002,16.93,22.66,22.66,16.4,11095166,-25.29%
10/1/2002,18.790001,17.15,18.99,14,15001109,9.56%
11/1/2002,19.4,18.790001,20,16.799999,9153447,3.25%
12/1/2002,18.52,19.299999,19.719999,17.799999,8731416,-4.04%
1/1/2003,17.25,18.52,19.629999,16.799999,8407956,-6.86%
2/1/2003,17.35,17.34,17.51,16.49,4346757,0.06%
3/1/2003,18.190001,17.25,18.940001,15.71,8028621,5.45%
4/1/2003,23.360001,18.299999,23.549999,18.110001,8029450,27.65%
5/1/2003,25.200001,23.299999,26.57,22.91,14041886,8.15%
